Day,Energia,Producao
17-Mar,1222692,3092
18-Mar,796370,1816
19-Mar,779470,1816
20-Mar,1038887,2681
21-Mar,992196,2532
22-Mar,1103698,2658
23-Mar,561344,1151
24-Mar,846197,2079
25-Mar,785045,1772
26-Mar,1094812,2779
27-Mar,798460,1764
28-Mar,804384,1981
29-Mar,664658,1428
30-Mar,607339,911
31-Mar,963972,2046
1-Apr,710304,1604
16-Jun,869369,1480
17-Jun,758912,1544
18-Jun,731036,1670
19-Jun,832782,2017
20-Jun,877035,2009
21-Jun,727378,1632
22-Jun,565700,973
23-Jun,1071815,2570
24-Jun,652811,1325
25-Jun,667271,1313
26-Jun,1147428,2451
27-Jun,1135406,2545
28-Jun,1263808,3242
29-Jun,539915,766
30-Jun,1109621,2829
1-Aug,878603,1934
2-Aug,1071815,2804
3-Aug,598453,1000
4-Aug,695844,1448
5-Aug,1049689,2238
6-Aug,1034532,2500
7-Aug,1201088,2890
8-Aug,943413,2048
9-Aug,897419,1888
10-Aug,662567,1275
11-Aug,938012,2179
12-Aug,769017,1721
13-Aug,794976,1735
14-Aug,819019,1654
15-Aug,637305,1184
16-Aug,774592,1697
17-Aug,965191,2385
18-Aug,1203353,2769
19-Aug,788356,1796
20-Aug,865188,1944
21-Aug,1039932,2438
22-Aug,1342382,3282
23-Aug,541831,1047
24-Aug,613436,991
25-Aug,607164,1193
26-Aug,682951,1473
27-Aug,1001255,2338
28-Aug,1055090,2514
29-Aug,619186,1266
30-Aug,935922,2104
31-Aug,900903,1703
1-Sep,1051257,2065
2-Sep,690443,1288
3-Sep,808217,1405
4-Sep,712569,1397
5-Sep,1309454,3155
6-Sep,739399,1711
7-Sep,397924,604
8-Sep,740444,1634
9-Sep,1012057,2327
10-Sep,1067460,2636
11-Sep,936270,2088
12-Sep,958396,2240
13-Sep,641660,1400
14-Sep,980871,2120
15-Sep,1141504,2927
16-Sep,716053,1630
17-Sep,638002,1374
18-Sep,686610,1499
19-Sep,1068331,2449
20-Sep,937838,2308
21-Sep,740096,1595
22-Sep,960836,2434
23-Sep,1021116,2389
24-Sep,1092548,2898
25-Sep,958745,2268
26-Sep,985575,2174
27-Sep,1360676,3400
28-Sep,881390,2051
29-Sep,820761,1826
30-Sep,1006308,2352
1-Oct,956654,2190
2-Oct,905781,2076
3-Oct,923726,1995
4-Oct,834524,1975
5-Oct,846197,1602
6-Oct,1026692,2099
7-Oct,799157,1449
8-Oct,563609,1190
9-Oct,794976,1816
10-Oct,1116416,2568
11-Oct,1152654,2826
12-Oct,253668,464
13-Oct,663438,1142
14-Oct,672846,1434
15-Oct,1087495,2675
16-Oct,1111015,2653
17-Oct,1261020,2787
18-Oct,838880,1703
19-Oct,961532,1982
20-Oct,1349351,3174
21-Oct,690094,1415
22-Oct,700373,1657
23-Oct,1029653,2257
24-Oct,1197429,3154
25-Oct,1209973,3011
26-Oct,554027,1223
27-Oct,818322,1677
