Localidade;Código IBGE;2001_per;2001_abs;2002_per;2002_abs;2003_per;2003_abs;2004_per;2004_abs;2005_per;2005_abs;2006_per;2006_abs;2007_per;2007_abs;2008_per;2008_abs;2009_per;2009_abs;2011_per;2011_abs;2012_per;2012_abs;2013_per;2013_abs;2014_per;2014_abs;2015_per;2015_abs;
Brasil;0;12,4;15100566,0;11,9;14816995,0;11,6;14822088,0;11,5;15168579,0;11,1;15054724,0;10,5;14430456,0;10,1;14158566,0;10,0;14272426,0;9,7;14118594,0;8,6;12865580,0;8,7;13162991,0;8,5;13335365,0;8,3;13169677,0;8,0;12865873,0;
Norte;1;11,2;734214,0;10,4;693770,0;10,5;732871,0;13,0;1245702,0;11,9;1173907,0;11,7;1189578,0;11,4;1178735,0;11,2;1210760,0;11,0;1209781,0;10,2;1183254,0;10,0;1178607,0;9,5;1160102,0;9,0;1118429,0;9,1;1168957,0;
Nordeste;2;24,3;8027472,0;23,4;7947385,0;23,2;8057725,0;22,5;7976599,0;22,0;7928906,0;20,8;7634703,0;20,0;7494750,0;19,5;7435292,0;18,8;7294330,0;16,9;6775518,0;17,4;7109303,0;16,9;7130169,0;16,6;7120425,0;16,2;7009231,0;
Sudeste;3;7,5;4131634,0;7,2;4029365,0;6,8;3921291,0;6,6;3837236,0;6,6;3901232,0;6,0;3623826,0;5,8;3529432,0;5,8;3625985,0;5,7;3588729,0;4,8;3112087,0;4,8;3136485,0;4,8;3231883,0;4,6;3138984,0;4,3;3016635,0;
Sul;4;7,1;1329092,0;6,7;1288584,0;6,4;1243667,0;6,3;1246632,0;5,9;1190726,0;5,7;1163312,0;5,5;1136084,0;5,5;1149077,0;5,5;1174176,0;4,9;1086872,0;4,4;976834,0;4,6;1051930,0;4,4;1027135,0;4,1;981171,0;
Centro-Oeste;5;10,2;878154,0;9,6;857891,0;9,5;866534,0;9,2;862410,0;8,9;859953,0;8,3;819037,0;8,0;819565,0;8,2;851312,0;8,0;851578,0;6,3;707849,0;6,7;761762,0;6,5;761281,0;6,5;764704,0;5,7;689879,0;
Rondônia;11;10,2;63351,0;8,6;57139,0;8,6;57193,0;10,4;108092,0;9,9;103142,0;10,6;113365,0;9,5;102436,0;9,2;102607,0;9,8;112317,0;9,7;115198,0;8,6;102693,0;8,6;111469,0;8,3;109075,0;8,0;108074,0;
Acre;12;16,7;43086,0;13,0;35167,0;16,9;47778,0;18,1;74203,0;21,0;89335,0;17,5;78037,0;15,7;71574,0;14,9;71129,0;16,3;79749,0;14,4;74546,0;13,5;71586,0;14,6;77874,0;13,1;70726,0;13,8;78821,0;
Amazonas;13;7,7;112960,0;6,3;94287,0;6,6;102983,0;9,0;183676,0;6,7;142220,0;7,8;173162,0;7,9;174658,0;8,8;202695,0;7,3;175921,0;8,4;205750,0;8,3;208997,0;7,3;193752,0;6,2;171484,0;6,7;187473,0;
Roraima;14;11,5;20857,0;12,1;21496,0;9,7;17901,0;10,7;27025,0;12,5;34335,0;8,8;24146,0;11,0;31897,0;9,7;28880,0;7,7;23626,0;9,6;32107,0;7,4;25003,0;9,8;34800,0;7,5;26984,0;8,0;28931,0;
Pará;15;11,2;321117,0;10,7;318219,0;10,6;326129,0;14,6;670297,0;13,4;629063,0;13,3;641403,0;12,7;634537,0;12,5;643954,0;12,8;668429,0;10,6;591565,0;10,5;596383,0;10,1;577837,0;10,0;582761,0;9,9;601905,0;
Amapá;16;7,1;24034,0;6,2;18792,0;9,3;29988,0;8,5;31128,0;7,4;28905,0;5,3;22001,0;7,2;29909,0;4,7;20966,0;3,3;14998,0;7,6;36983,0;6,7;33239,0;6,0;30952,0;4,2;22457,0;5,9;32060,0;
Tocantins;17;18,5;148809,0;18,1;148670,0;17,6;150899,0;17,2;151281,0;16,3;146907,0;14,9;137464,0;14,2;133724,0;14,4;140529,0;13,5;134741,0;12,2;127105,0;13,4;140706,0;12,2;133418,0;12,2;134942,0;11,4;131693,0;
